"id","source","target","cost","reverse_cost","geom_coord","geom","length"
366971,299145,35231,4.214164297195152,4.214164297195152,"[[1287906.997078398,6131993.414826438],[1287910.425718714,6132001.090065317]]","LINESTRING (11.5694654 48.1508843, 11.5694962 48.1509303)",8.406239722703692
367370,299140,237603,101.67189941851555,101.67189941851555,"[[1287967.220922917,6131986.373635082],[1287909.457239142,6132010.584011623],[1287780.972282871,6132065.595714392]]","LINESTRING (11.5700064 48.1508421, 11.5694875 48.1509872, 11.5683333 48.1513169)",202.39863320350466
371729,111874,299145,1.6478296278241011,1.6478296278241011,"[[1287905.661244509,6131990.411473963],[1287906.997078398,6131993.414826438]]","LINESTRING (11.5694534 48.1508663, 11.5694654 48.1508843)",3.2870318320858973
372190,273660,299140,31.21644392523548,31.21644392523548,"[[1287992.523843175,6132043.270631346],[1287967.220922917,6131986.373635082]]","LINESTRING (11.5702337 48.1511831, 11.5700064 48.1508421)",62.269623071441146
390233,173282,284333,5.399974113686523,5.399974113686523,"[[1287885.534680572,6131797.615135008],[1287881.393595513,6131787.670932697]]","LINESTRING (11.5692726 48.1497108, 11.5692354 48.1496512)",10.771988909082024
390345,299145,299144,25.66083815710624,25.66083815710624,"[[1287906.997078398,6131993.414826438],[1287859.931197691,6132013.270349832]]","LINESTRING (11.5694654 48.1508843, 11.5690426 48.1510033)",51.08266766714413
390352,299140,37194,4.127211264862813,4.127211264862813,"[[1287967.220922917,6131986.373635082],[1287963.881338192,6131978.848576788]]","LINESTRING (11.5700064 48.1508421, 11.5699764 48.150797)",8.232820201108478
394399,299658,173282,5.468520868496472,5.468520868496472,"[[1287889.375203004,6131807.826307782],[1287885.534680572,6131797.615135008]]","LINESTRING (11.5693071 48.149772, 11.5692726 48.1497108)",10.90952162012841
394405,306076,227497,2.3956689310866444,2.3956689310866444,"[[1287845.237024904,6131803.488226356],[1287843.344593562,6131799.100092381]]","LINESTRING (11.5689106 48.149746, 11.5688936 48.1497197)",4.778809074071494
394406,299658,173286,31.34486159871337,31.34486159871337,"[[1287889.375203004,6131807.826307782],[1287832.201512532,6131832.820373576]]","LINESTRING (11.5693071 48.149772, 11.5687935 48.1499218)",62.39819073590621
394483,306175,299145,29.122224673167587,29.122224673167587,"[[1287960.40817008,6131970.873023328],[1287906.997078398,6131993.414826438]]","LINESTRING (11.5699452 48.1507492, 11.5694654 48.1508843)",57.97307652775071
398723,173286,306078,5.337491926648738,5.337491926648738,"[[1287832.201512532,6131832.820373576],[1287822.494452937,6131837.141784874]]","LINESTRING (11.5687935 48.1499218, 11.5687063 48.1499477)",10.625516532837493
398803,37194,306175,4.3608422167256045,4.3608422167256045,"[[1287963.881338192,6131978.848576788],[1287960.40817008,6131970.873023328]]","LINESTRING (11.5699764 48.150797, 11.5699452 48.1507492)",8.698985556767834
402729,306078,306082,7.6300451567345435,7.6300451567345435,"[[1287822.494452937,6131837.141784874],[1287808.445933198,6131842.914793327]]","LINESTRING (11.5687063 48.1499477, 11.5685801 48.1499823)",15.188434200890272
379819,288991,288992,14.190678317918678,14.190678317918678,"[[1287993.236287914,6131890.583974334],[1287967.343374357,6131901.879790455]]","LINESTRING (11.5702401 48.150268, 11.5700075 48.1503357)",28.24957405573013
372879,168785,289194,7.24756064748566,7.24756064748566,"[[1287856.691800508,6131936.251198528],[1287862.246643098,6131949.599355366]]","LINESTRING (11.5690135 48.1505417, 11.5690634 48.1506217)",14.457854860459314
402728,306077,300009,2.005915312296889,2.005915312296889,"[[1287867.979596875,6131793.544017229],[1287866.465651798,6131789.839969128]]","LINESTRING (11.5691149 48.1496864, 11.5691013 48.1496642)",4.001499972232573
140158,111873,168785,8.559539520134704,8.559539520134704,"[[1287872.432376504,6131929.727294445],[1287856.691800508,6131936.251198528]]","LINESTRING (11.5691549 48.1505026, 11.5690135 48.1505417)",17.038986390130706
41611,35231,37194,29.08483650743616,29.08483650743616,"[[1287910.425718714,6132001.090065317],[1287963.881338192,6131978.848576788]]","LINESTRING (11.5694962 48.1509303, 11.5699764 48.150797)",57.89807480126953
